set_num,name,num_parts,set_img_url,set_url,last_modified_dt
fig-008471,"Astronaut, White Torso, White Legs, White Helmet",5,,https://rebrickable.com/minifigs/fig-008471/astronaut-white-torso-white-legs-white-helmet/,2020-05-23T18:37:36.211122Z
fig-008472,"Man, Black Vest over Blue Shirt, Black Legs, Red Hard Hat",4,https://cdn.rebrickable.com/media/sets/fig-008472/136699.jpg,https://rebrickable.com/minifigs/fig-008472/man-black-vest-over-blue-shirt-black-legs-red-hard-hat/,2020-05-24T00:07:51.039516Z
fig-008473,"Construction Worker, Blue Shirt with Pockets and Buttons, Black Legs, Red Hard Hat, Yellow Vest",5,https://cdn.rebrickable.com/media/sets/fig-008473/136763.jpg,https://rebrickable.com/minifigs/fig-008473/construction-worker-blue-shirt-with-pockets-and-buttons-black-legs-red-hard-hat-yellow-vest/,2022-11-23T12:15:47.491956Z
fig-008474,"Racer, Brown Jacker with Zipper, White Legs, White Helmet with Visor, Yellow Life Vest, Blue Sunglasses",6,https://cdn.rebrickable.com/media/sets/fig-008474/117795.jpg,https://rebrickable.com/minifigs/fig-008474/racer-brown-jacker-with-zipper-white-legs-white-helmet-with-visor-yellow-life-vest-blue-sunglasses/,2020-06-21T01:01:20.435574Z
fig-008475,"Racer, Blue Jacket with Octan Logo, Blue Legs, Blue Helmet with Stars and Visor, Yellow Life Vest",6,https://cdn.rebrickable.com/media/sets/fig-008475/96621.jpg,https://rebrickable.com/minifigs/fig-008475/racer-blue-jacket-with-octan-logo-blue-legs-blue-helmet-with-stars-and-visor-yellow-life-vest/,2020-05-24T00:23:57.410361Z
fig-008476,"Racer, Red Jacket with Octan Logo and 'RACING', Red Legs, Red Helmet with Star and Visor, Yellow Life Vest, Sunglasses",6,https://cdn.rebrickable.com/media/sets/fig-008476/73272.jpg,https://rebrickable.com/minifigs/fig-008476/racer-red-jacket-with-octan-logo-and-racing-red-legs-red-helmet-with-star-and-visor-yellow-life-vest-sunglasses/,2020-05-24T00:25:04.946355Z
fig-008477,"Man, Black Torso with Yellow Arms, Red Legs, Red Cap, Yellow Life Vest, Sunglasses",5,https://cdn.rebrickable.com/media/sets/fig-008477/70349.jpg,https://rebrickable.com/minifigs/fig-008477/man-black-torso-with-yellow-arms-red-legs-red-cap-yellow-life-vest-sunglasses/,2020-05-24T00:26:04.660583Z
fig-008478,"Woman, White Top with Yellow Necklace, Blue Legs, Red Hair",4,https://cdn.rebrickable.com/media/sets/fig-008478/136700.jpg,https://rebrickable.com/minifigs/fig-008478/woman-white-top-with-yellow-necklace-blue-legs-red-hair/,2020-05-24T00:52:29.890895Z
fig-008479,"Man, Black Jacket over Red Shirt, White Legs, Brown Hair",4,https://cdn.rebrickable.com/media/sets/fig-008479/69478.jpg,https://rebrickable.com/minifigs/fig-008479/man-black-jacket-over-red-shirt-white-legs-brown-hair/,2020-05-24T00:53:45.314542Z
fig-008480,"Man, Blue Jacket with Tie and Three Buttons, Black Legs, Black Hat",4,https://cdn.rebrickable.com/media/sets/fig-008480/136701.jpg,https://rebrickable.com/minifigs/fig-008480/man-blue-jacket-with-tie-and-three-buttons-black-legs-black-hat/,2020-05-24T00:54:21.501785Z
