inventory_id,setnum,num_parts,set_img_url,quantity
695,8618-1,32,https://cdn.rebrickable.com/media/sets/8618-1.jpg,1
708,8560-1,39,https://cdn.rebrickable.com/media/sets/8560-1.jpg,1
708,8564-1,39,https://cdn.rebrickable.com/media/sets/8564-1.jpg,1
710,8602-1,46,https://cdn.rebrickable.com/media/sets/8602-1.jpg,1
710,8606-1,48,https://cdn.rebrickable.com/media/sets/8606-1.jpg,1
710,8614-1,32,https://cdn.rebrickable.com/media/sets/8614-1.jpg,1
710,8615-1,32,https://cdn.rebrickable.com/media/sets/8615-1.jpg,1
710,8616-1,32,https://cdn.rebrickable.com/media/sets/8616-1.jpg,1
758,6712-1,28,https://cdn.rebrickable.com/media/sets/6712-1.jpg,1
758,6716-1,65,https://cdn.rebrickable.com/media/sets/6716-1.jpg,1
758,6755-1,178,https://cdn.rebrickable.com/media/sets/6755-1.jpg,1
889,9490-1,137,https://cdn.rebrickable.com/media/sets/9490-1.jpg,1
889,9492-1,413,https://cdn.rebrickable.com/media/sets/9492-1.jpg,1
889,9496-1,220,https://cdn.rebrickable.com/media/sets/9496-1.jpg,1
908,7030-1,52,https://cdn.rebrickable.com/media/sets/7030-1.jpg,1
908,7031-1,88,https://cdn.rebrickable.com/media/sets/7031-1.jpg,1
908,7032-1,154,https://cdn.rebrickable.com/media/sets/7032-1.jpg,1
908,7033-1,187,https://cdn.rebrickable.com/media/sets/7033-1.jpg,1
908,7034-1,268,https://cdn.rebrickable.com/media/sets/7034-1.jpg,1
908,7035-1,423,https://cdn.rebrickable.com/media/sets/7035-1.jpg,1
909,1557-1,26,https://cdn.rebrickable.com/media/sets/1557-1.jpg,1
909,1558-1,68,https://cdn.rebrickable.com/media/sets/1558-1.jpg,1
916,76029-1,92,https://cdn.rebrickable.com/media/sets/76029-1.jpg,1
916,76030-1,221,https://cdn.rebrickable.com/media/sets/76030-1.jpg,1
916,76031-1,249,https://cdn.rebrickable.com/media/sets/76031-1.jpg,1
916,76032-1,723,https://cdn.rebrickable.com/media/sets/76032-1.jpg,1
916,76038-1,516,https://cdn.rebrickable.com/media/sets/76038-1.jpg,1
916,76041-1,405,https://cdn.rebrickable.com/media/sets/76041-1.jpg,1
920,9674-1,56,https://cdn.rebrickable.com/media/sets/9674-1.jpg,1
920,9675-1,80,https://cdn.rebrickable.com/media/sets/9675-1.jpg,1
920,9676-1,65,https://cdn.rebrickable.com/media/sets/9676-1.jpg,1
962,7990-1,213,https://cdn.rebrickable.com/media/sets/7990-1.jpg,1
962,7991-1,206,https://cdn.rebrickable.com/media/sets/7991-1.jpg,1
962,7993-1,406,https://cdn.rebrickable.com/media/sets/7993-1.jpg,1
973,8870-1,1,https://cdn.rebrickable.com/media/sets/8870-1.jpg,1
973,8878-1,1,https://cdn.rebrickable.com/media/sets/8878-1.jpg,1
973,8879-1,1,https://cdn.rebrickable.com/media/sets/8879-1.jpg,1
973,8882-1,1,https://cdn.rebrickable.com/media/sets/8882-1.jpg,1
973,8884-1,1,https://cdn.rebrickable.com/media/sets/8884-1.jpg,1
973,8887-1,1,https://cdn.rebrickable.com/media/sets/8887-1.jpg,1
994,4096-1,216,https://cdn.rebrickable.com/media/sets/4096-1.jpg,1
994,4100-1,293,https://cdn.rebrickable.com/media/sets/4100-1.jpg,1
1130,20203-1,150,https://cdn.rebrickable.com/media/sets/20203-1.jpg,1
1130,20204-1,232,https://cdn.rebrickable.com/media/sets/20204-1.jpg,1
1130,20205-1,188,https://cdn.rebrickable.com/media/sets/20205-1.jpg,1
1131,8762-1,53,https://cdn.rebrickable.com/media/sets/8762-1.jpg,1
1131,8763-1,55,https://cdn.rebrickable.com/media/sets/8763-1.jpg,1
1159,71000-1,7,https://cdn.rebrickable.com/media/sets/71000-1.jpg,1
1159,71000-10,7,https://cdn.rebrickable.com/media/sets/71000-10.jpg,1
1159,71000-11,7,https://cdn.rebrickable.com/media/sets/71000-11.jpg,1
