inventory_id,fig_num,quantity,set_num,set_url,last_modified
5677,fig-007344,1,fig-007344,https://rebrickable.com/minifigs/fig-007344/white-torso-with-surfboard-green-legs-red-cap-3626b-head/,2022-07-22 19:30:24.930001+00:00
5680,fig-004675,1,fig-004675,https://rebrickable.com/minifigs/fig-004675/viking-warrior-black-breast-plate-dark-blue-legs/,2020-04-23 09:39:57.544054+00:00
5681,fig-000030,1,fig-000030,https://rebrickable.com/minifigs/fig-000030/space-police-ii/,2020-04-12 18:09:21.482456+00:00
5682,fig-003622,1,fig-003622,https://rebrickable.com/minifigs/fig-003622/r5-d4-30361c-body/,2022-02-05 21:30:30.527598+00:00
5682,fig-003696,1,fig-003696,https://rebrickable.com/minifigs/fig-003696/dutch-vander-rebel-pilot-y-wing-plain-legs-no-visor/,2020-06-27 00:28:11.409786+00:00
5684,fig-003004,1,fig-003004,https://rebrickable.com/minifigs/fig-003004/nindroid-warrior/,2020-04-15 18:12:03.871943+00:00
5684,fig-003030,1,fig-003030,https://rebrickable.com/minifigs/fig-003030/jay-in-techno-robe-outfit-rebooted/,2020-04-15 18:56:28.343306+00:00
5684,fig-003031,1,fig-003031,https://rebrickable.com/minifigs/fig-003031/cole-in-techno-robe-outfit-rebooted/,2020-04-21 21:46:50.634727+00:00
5691,fig-000452,1,fig-000452,https://rebrickable.com/minifigs/fig-000452/rattla/,2020-04-12 19:27:58.192838+00:00
5691,fig-000880,1,fig-000880,https://rebrickable.com/minifigs/fig-000880/kai-zx-with-shoulder-armour/,2020-04-13 06:46:42.669741+00:00
5698,fig-000274,1,fig-000274,https://rebrickable.com/minifigs/fig-000274/timmy-blue-legs-red-cap/,2020-04-22 18:18:11.352444+00:00
5698,fig-004396,2,fig-004396,https://rebrickable.com/minifigs/fig-004396/racer-octan-red-torso-green-legs-white-helmet/,2020-04-22 16:10:45.403095+00:00
5698,fig-004397,2,fig-004397,https://rebrickable.com/minifigs/fig-004397/white-torso-blue-overalls-brown-hair-3626b-head/,2022-06-26 14:10:57.574862+00:00
5698,fig-009008,3,fig-009008,https://rebrickable.com/minifigs/fig-009008/man-green-jacket-black-legs-green-cap-sunglasses/,2020-06-04 22:09:45.865234+00:00
5698,fig-010647,3,fig-010647,https://rebrickable.com/minifigs/fig-010647/white-torso-blue-legs-black-hair-red-lips/,2020-09-19 10:44:00.629478+00:00
5699,fig-000424,1,fig-000424,https://rebrickable.com/minifigs/fig-000424/white-torso-freestyle-green-legs-red-cap/,2020-05-23 00:36:28.528132+00:00
5699,fig-008414,1,fig-008414,https://rebrickable.com/minifigs/fig-008414/man-green-jacket-red-legs-white-cap/,2020-08-15 17:42:30.124389+00:00
5700,fig-000319,1,fig-000319,https://rebrickable.com/minifigs/fig-000319/man-blue-torso-white-legs-black-hair/,2020-05-05 20:56:38.952915+00:00
5705,fig-000448,1,fig-000448,https://rebrickable.com/minifigs/fig-000448/woody-molded-head/,2022-08-08 19:16:16.024639+00:00
5705,fig-003220,1,fig-003220,https://rebrickable.com/minifigs/fig-003220/jessie-with-molded-head/,2020-04-16 18:55:16.800107+00:00
5705,fig-003221,1,fig-003221,https://rebrickable.com/minifigs/fig-003221/stinky-pete/,2020-05-06 06:28:59.673262+00:00
5706,fig-010177,1,fig-010177,https://rebrickable.com/minifigs/fig-010177/white-torso-dark-blue-legs-dark-brown-hair-sandiego/,2020-06-13 21:04:25.317893+00:00
5706,fig-010178,1,fig-010178,https://rebrickable.com/minifigs/fig-010178/white-torso-blue-legs-red-cap-sandiego/,2020-06-13 21:04:55.010618+00:00
5706,fig-010179,1,fig-010179,https://rebrickable.com/minifigs/fig-010179/dark-blue-torso-tan-legs-dark-orange-hair-sandiego/,2020-06-13 21:05:17.632962+00:00
5726,fig-000933,1,fig-000933,https://rebrickable.com/minifigs/fig-000933/genie/,2020-05-23 09:48:06.701954+00:00
5730,fig-008049,1,fig-008049,https://rebrickable.com/minifigs/fig-008049/fireman-orange-safety-vest-with-radio-dark-red-helmet-yellow-life-vest-goatee-beard/,2020-06-01 17:37:31.475869+00:00
5730,fig-008231,1,fig-008231,https://rebrickable.com/minifigs/fig-008231/criminal-prison-shirt-with-86753-dark-bluish-gray-legs-black-hat-backpack-black-eyemask/,2020-05-19 00:03:48.238856+00:00
5730,fig-008232,1,fig-008232,https://rebrickable.com/minifigs/fig-008232/paramedic-red-jacket-red-legs-white-helmet-with-visor/,2020-06-01 17:37:36.484960+00:00
5730,fig-008233,1,fig-008233,https://rebrickable.com/minifigs/fig-008233/firewoman-orange-safety-vest-with-radio-red-helmet-yellow-life-vest/,2020-06-01 17:37:26.393587+00:00
5730,fig-008234,1,fig-008234,https://rebrickable.com/minifigs/fig-008234/policeman-dark-bluish-gray-vest-with-radio-badge-and-pouches-over-medium-blue-shirt-dark-blue-cap-yellow-life-vest/,2020-05-19 00:07:33.376821+00:00
5734,fig-000156,1,fig-000156,https://rebrickable.com/minifigs/fig-000156/ninja-red/,2020-04-27 19:51:14.716700+00:00
5737,fig-004847,1,fig-004847,https://rebrickable.com/minifigs/fig-004847/hikaru-in-silver-armor/,2020-04-24 17:42:33.849971+00:00
5738,fig-008039,1,fig-008039,https://rebrickable.com/minifigs/fig-008039/fireman-black-fire-jacket-with-reflective-stripes-radio-and-badge-white-helmet-yellow-life-vest-stubble/,2020-05-16 23:53:15.052488+00:00
5738,fig-008040,1,fig-008040,https://rebrickable.com/minifigs/fig-008040/fireman-black-fire-jacket-with-reflective-stripes-radio-and-badge-white-helmet-yellow-life-vest/,2020-05-16 23:53:42.792136+00:00
5738,fig-008041,1,fig-008041,https://rebrickable.com/minifigs/fig-008041/fireman-black-fire-jacket-with-reflective-stripes-radio-and-badge-white-helmet-yellow-life-vest-open-mouth/,2020-05-16 23:54:12.448421+00:00
5738,fig-008042,1,fig-008042,https://rebrickable.com/minifigs/fig-008042/fireman-black-fire-jacket-with-reflective-stripes-radio-and-badge-silver-helmet-yellow-life-vest-beard-and-glasses/,2020-05-16 23:54:45.232647+00:00
5739,fig-007345,1,fig-007345,https://rebrickable.com/minifigs/fig-007345/white-torso-with-surfboard-reddish-brown-legs-red-hair/,2020-05-07 10:32:11.381135+00:00
5739,fig-007346,1,fig-007346,https://rebrickable.com/minifigs/fig-007346/white-torso-with-surfboard-reddish-brown-legs-lime-cap/,2020-05-07 10:32:36.454884+00:00
5741,fig-000396,1,fig-000396,https://rebrickable.com/minifigs/fig-000396/racer-blue-jacket-with-octan-logo-blue-legs-white-helmet-with-visor/,2020-05-25 20:41:32.964477+00:00
5744,fig-003524,2,fig-003524,https://rebrickable.com/minifigs/fig-003524/snowtrooper-light-gray-hips/,2020-07-06 18:59:19.824684+00:00
5744,fig-003525,1,fig-003525,https://rebrickable.com/minifigs/fig-003525/at-at-driver-white-uniform-plain-yellow-head/,2020-06-20 00:52:26.116018+00:00
5744,fig-003526,1,fig-003526,https://rebrickable.com/minifigs/fig-003526/luke-skywalker-orange-rebel-pilot-outfit-yellow-skin-dark-gray-hips/,2020-06-19 21:55:58.940671+00:00
5745,fig-000318,1,fig-000318,https://rebrickable.com/minifigs/fig-000318/quicky-the-nesquik-bunny/,2020-04-29 12:53:16.972244+00:00
5748,fig-000285,1,fig-000285,https://rebrickable.com/minifigs/fig-000285/man-blue-shirt-blue-legs-red-hard-hat/,2020-05-12 18:54:28.969425+00:00
5748,fig-000733,1,fig-000733,https://rebrickable.com/minifigs/fig-000733/man-blue-jacket-blue-legs-red-hat/,2020-04-25 09:35:15.118415+00:00
5748,fig-001010,1,fig-001010,https://rebrickable.com/minifigs/fig-001010/man-blue-jacket-blue-legs-red-hat/,2020-04-24 20:36:38.312949+00:00
5750,fig-002460,1,fig-002460,https://rebrickable.com/minifigs/fig-002460/aang/,2020-05-06 02:30:14.196093+00:00
5750,fig-002461,1,fig-002461,https://rebrickable.com/minifigs/fig-002461/fire-nation-soldier/,2020-04-12 18:47:57.667738+00:00
5750,fig-002462,1,fig-002462,https://rebrickable.com/minifigs/fig-002462/firebender/,2020-04-12 18:49:25.792851+00:00
5750,fig-002465,1,fig-002465,https://rebrickable.com/minifigs/fig-002465/sokka/,2020-04-12 18:52:33.588080+00:00
5751,fig-003309,1,fig-003309,https://rebrickable.com/minifigs/fig-003309/ghost-with-open-mouth-and-brick-built-legs/,2020-05-24 22:38:46.562401+00:00
5751,fig-003310,1,fig-003310,https://rebrickable.com/minifigs/fig-003310/witch-cmf/,2020-04-16 23:07:42.304517+00:00
5751,fig-003311,1,fig-003311,https://rebrickable.com/minifigs/fig-003311/zombie-in-reddish-brown-suit/,2020-04-16 23:09:00.640406+00:00
5754,fig-003967,1,fig-003967,https://rebrickable.com/minifigs/fig-003967/clone-trooper-501st-legion-blue-arms/,2020-08-01 17:36:22.553100+00:00
